# Constructed from biom file
#OTU ID	G1-13	G1-135	G1-136	G1-138	G1-14	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418
a911e1a597739180245c9bd6aab9d992	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0
c968e760232bc409d8b2f69661888e32	2.0	8.0	37.0	18.0	35.0	36.0	60.0	8.0	2.0	0.0	12.0
800f3b198e89fb9d2bab6e2e72394d1a	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fea6f0f65bf2e94ebff13b253d142072	1.0	5.0	24.0	24.0	29.0	33.0	53.0	10.0	3.0	0.0	16.0
2dc1dae7438f41afb789fe8a3a433eac	151.0	880.0	134.0	109.0	143.0	0.0	8.0	807.0	1016.0	330.0	292.0
d75046f383b3d6f6d7f987ceaadb0253	4.0	0.0	12.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	5.0
2381ea10d7e07f0c342a68a1eb070c8b	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	12.0	1.0
162bdb2c7b5934c8bfddada185f8a786	12.0	271.0	50.0	728.0	562.0	997.0	171.0	30.0	3.0	56.0	92.0
6e229b9b735e70c49289ef3f3ad5db48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
b96ea9e9b09900ccecf691bbceea9b83	121.0	218.0	777.0	104.0	324.0	141.0	218.0	247.0	60.0	239.0	461.0
fdd885ca4a5d869fa6cb1222b8b103f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
c35bc9806adc8b858466c744cc35b1e5	8.0	1.0	8.0	4.0	7.0	19.0	88.0	49.0	329.0	0.0	16.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
2f0f3742a8bf27b3508f01cfbfb8878f	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fac07b2893c7b432c5c424ca5ea83548	528.0	18.0	94.0	521.0	58.0	1.0	1.0	21.0	11.0	7.0	1.0
acdb00a8aa6e6697516e395f5364fd46	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
d9804cbb9c1b7c95059a296f45c8dff6	83.0	34.0	161.0	0.0	15.0	12.0	136.0	1.0	0.0	16.0	44.0
5877dadce57b3bd826fe6bfa04a97b56	654.0	123.0	263.0	56.0	389.0	326.0	814.0	381.0	138.0	905.0	622.0
f365eed4b4c884bf45ea125ca3786f2a	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
