# Constructed from biom file
#OTU ID	G1-131	G1-132	G1-15	G1-177	G1-178	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424
c968e760232bc409d8b2f69661888e32	56.0	29.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
9af23aa4c8fa7a910841ad8924350346	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
21b2ee09c45126aee4334e36d3997017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
fea6f0f65bf2e94ebff13b253d142072	50.0	34.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
2dc1dae7438f41afb789fe8a3a433eac	71.0	64.0	424.0	15.0	9.0	0.0	2.0	12.0	1.0	19.0	104.0
7b0f05ead6d2e7c841505a2892f761f7	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
fab60d5bf7d90a067aff303734e6256f	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b867a5c71ffeb84df71eba4c2f773762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
d75046f383b3d6f6d7f987ceaadb0253	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
deccce0dcc504a2b95a7e5eec1951770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
bd536d93fb8b44bb513090bb0936583a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad4b2c31e2b8ca69d4e69c810f3dbba0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
2b12e34f235b19e98f7674d3f811a6d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
b47788e49066a3575d492b8ed3edcf37	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
9ca4e6bf22ba23dcb3faa9aa17367682	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	3.0	0.0	0.0	19.0	7.0	12.0	4.0	70.0	2.0	20.0	0.0
162bdb2c7b5934c8bfddada185f8a786	640.0	4.0	113.0	33.0	39.0	860.0	93.0	306.0	103.0	226.0	676.0
49b1fda473552e490b9a4e351a5e36ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d458a2240945c8b90b1360950dfdc346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
86fcb7643de63b79a39cb8f36a15a286	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	337.0	122.0	308.0	308.0	589.0	218.0	442.0	405.0	436.0	246.0	203.0
0970c3bc831acb69e8084d1c58e675da	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c35bc9806adc8b858466c744cc35b1e5	3.0	13.0	56.0	232.0	305.0	24.0	30.0	82.0	20.0	42.0	22.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
747039f85de7e9f9b92d36a02d50c8ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
fba7e174029cc0871b690eba51f665b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
556015dfddeceb74af5169cbccc09140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
e4909758972ca72477f8ca0a4dba6068	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
454c4e7f639802693f1d3ed6302484f3	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c7c9c453e10cddb81716d41dddd482d5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
fac07b2893c7b432c5c424ca5ea83548	397.0	1294.0	54.0	0.0	0.0	4.0	0.0	8.0	0.0	2.0	0.0
acdb00a8aa6e6697516e395f5364fd46	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03f2d95f82800e1dab7e799d24041975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
038bf4762f1b1e852224d514f9871730	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9804cbb9c1b7c95059a296f45c8dff6	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f467341bc7ab0dbbbbd1337602d06d92	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3d5feb02135b0e47ae1a33f5fbb3d139	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	8.0	4.0	523.0	932.0	612.0	438.0	975.0	643.0	1003.0	678.0	546.0
68b772cf105e8bd33778229e99a0a719	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	4.0
f365eed4b4c884bf45ea125ca3786f2a	0.0	0.0	67.0	6.0	3.0	0.0	0.0	0.0	0.0	253.0	10.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87a17aac2fdc53384f5b93fe902163fa	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ced377d1452e26d4cf841747ff78bf2c	0.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0
